dict_size: 17809
#############################
maximum sentence length: 55
minimum sentence length: 1
length	frequency
mishandled	9
yawn-provoking	9
conflict-powered	9
adhere	9
wwii-era	9
belushi	9
show-stoppingly	9
moat	9
boffo	9
explodes	9
teen-speak	9
drop-dead	9
undramatic	9
favorably	9
goldman	9
flava	9
heaviness	9
vaunted	9
asphalt	9
nerve-rattling	9
cameo-packed	9
achero	9
brothers-style	9
keenest	9
bronze	9
harbour	9
foot-age	9
euro-trash	9
scented	9
obsessive-compulsive	9
even-handedness	9
homework	9
pimental	9
styx	9
misfiring	9
segue	9
cantet	9
genre-curling	9
sliver	9
patriotic	9
noodle	9
trend-hoppy	9
divining	9
aloft	9
ross	9
disinterest	9
overinflated	9
ten-year-old	9
full-blown	9
parlor	9
shimizu	9
departs	9
waters-like	9
molony	9
cardoso	9
gullible	9
lack-of-attention	9
stocked	9
kangaroo	9
eroti-comedy	9
submerged	9
1962	9
not-at-all-good	9
heaving	9
sip	9
embarrassingly	9
narcotizing	9
refracting	9
decommissioned	9
standoffish	9
82	9
integrates	9
magically	9
allied	9
objectionable	9
brazen	9
balding	9
agreed	9
minutely	9
off-the-cuff	9
scene-stealing	9
full-throated	9
ascertain	9
closed	9
punishable	9
jon	9
broadside	9
holistic	9
overuse	9
influential	9
watson	9
thus	9
decter	9
spiritless	9
manhunter	9
anti-war	9
give-me-an-oscar	9
temerity	9
clyde	9
sock-you-in-the-eye	9
raffish	9
eviction	9
kids-cute	9
pretention	9
meld	9
twirling	9
supple	9
two-actor	9
mined	9
slur	9
transfer	9
squaddie	9
meeropol	8
bad-boy	8
conjuring	8
augustine	8
classify	8
picaresque	8
racial-issues	8
reporter	8
reported	8
cart	8
pep-talk	8
karim	8
reviewing	8
preferable	8
mueller	8
matter-of-fact	8
attracts	8
wing	8
derring-do	8
vary	8
addicted	8
glad-handing	8
stacy	8
shelved	8
stripe	8
bitten	8
geneva	8
bass-heavy	8
baseball-playing	8
retaining	8
stand-up-comedy	8
dazzlingly	8
itinerant	8
regurgitated	8
assaultive	8
lds	8
autistic	8
ill-wrought	8
nocturnal	8
suge	8
occupational	8
twinkling	8
lookin	8
evolving	8
pregnancy	8
uni-dimensional	8
zoolander	8
wimmer	8
cipherlike	8
rancorous	8
unessential	8
casually	8
niels	8
self-revealing	8
near-hypnotic	8
lunar	8
launching	8
forming	8
unshapely	8
extremity	8
molina	8
disgrace	8
french-produced	8
devos	8
transported	8
too-long	8
aragorn	8
plying	8
methodically	8
fairlane	8
macho	8
solved	8
papa	8
kunis	8
jury	8
wind-in-the-hair	8
studied	8
bv	8
the-night	8
forefront	8
resuscitation	8
consoled	8
slaloming	8
romanticism	8
divided	8
poking	8
self-critical	8
illicit	8
warm-blooded	8
offal	8
constitutes	8
fourteen-year	8
pre-9	8
small-scale	8
pallid	8
imogen	8
sainthood	8
emblematic	8
unnamed	8
remainder	8
jokey	8
spoken	8
distill	8
ellefsen	8
time-honored	8
substituting	8
cursing	8
americanized	8
submerging	8
squeezed	8
hard-edged	8
sucker-punch	8
debilitating	8
perpetually	8
money-oriented	8
yammering	8
idiotically	8
prominently	8
crusty	8
agreeable	8
metaphoric	8
restoring	8
breezily	8
gesturing	8
culminates	8
societal	8
adobo	8
ruse	8
abuser	8
touchstone	8
junk-calorie	8
collie	8
wai	8
no-surprise	8
cresting	8
nikita	8
ti	8
returned	8
puzzled	8
intelligibility	8
hormonal	8
downing	8
discourages	8
skeeved	8
backlash	8
riviera	8
slash-fest	8
enactment	8
follower	8
gosh	8
enliven	8
firth	8
mora	8
65-year-old	8
normative	8
rejiggering	8
rodrigues	8
scar	8
often-cute	8
leroy	8
twinkly-eyed	8
melodramacharacter	8
baca-asay	8
dimwit	8
badge	8
resolute	8
slain	8
girlish	8
egomaniac	8
paucity	8
give-and-take	8
nietzsche-referencing	8
euphemism	8
hollywood-ized	8
swiftly	8
clean-cut	8
writes	8
sunny	8
compass	8
contour	8
surface-obsession	8
star-splashed	8
intolerant	8
11-year-old	8
extracting	8
moldy-oldie	8
contentedly	8
reliably	8
culture-clash	8
folksy	8
creaking	8
romijn-stamos	8
fetching	8
air-conditioning	8
perabo	8
stack	8
hubristic	8
rumbling	8
hayao	8
abound	8
paycheck	8
thornberry	8
bruin	8
not-being	8
dumbest	8
engross	8
tried-and-true	8
roisterous	8
oblivion	8
agreement	8
tartness	8
deceptive	8
guideline	8
atom	8
bobbed	8
akasha	8
faintly	8
suppression	8
off-center	8
cutting-room	8
itching	8
second-rate	8
squirming	8
reserve	8
sirk	8
trivialize	8
afforded	8
rick	8
reproduce	8
ziyi	8
opposing	8
bolstered	8
boom-box	8
permanent	8
slow-motion	8
undertaking	8
self-image	8
wheezy	8
unprepared	8
steering	8
mainland	8
compulsive	8
scarf	8
bleu	8
platonic	8
jose	8
backbone	8
argot	8
instruct	8
monosyllabic	8
parisian	8
waltzed	8
squandered	8
basted	8
ugly-looking	8
multi-layers	8
cd	8
angling	8
trinity	8
touchy-feely	8
tended	8
ikea	8
apolitical	8
monsterous	8
otar	8
advanced	8
stagger	8
skid-row	8
billing	8
25-cent	8
startled	8
wretchedly	8
gravitational	8
good-deedbad-deed	8
dismantle	8
rep	8
skilfully	8
evacuation	8
stifled	8
galan	8
personifies	8
alcatraz	8
groupiescholar	8
kudos	8
none-too-funny	8
adamant	8
resents	8
quiver	8
lax	8
zen	8
ruffle	8
shameful	8
slavery	8
scent	8
remorse	8
drawn-out	8
meatier	8
amiably	8
enlightened	8
bohos	8
airy	8
respecting	8
ragbag	8
zest	8
maiden	8
teetering	8
tartly	8
humanist	8
cattle	8
dreamscape	8
consciousness-raiser	8
prone	8
raw-nerved	8
concerning	8
espoused	8
concludes	8
smorgasbord	8
grandiose	8
regrettably	8
confection	8
everett	8
1970	8
eroded	8
glitch	8
bemused	8
courtesy	8
capped	8
out-stealth	8
tartakovsky	8
clearasil	8
honoring	8
rebecca	8
cosa	8
confirmation	8
edmund	8
illumination	8
valium	8
13-year-old	8
magician	8
urinates	8
lounge	8
ebb	8
flower-power	8
time-killer	8
meets-john	8
em	8
grimness	8
disassociation	8
outwardly	8
affronted	8
actioners	8
verdu	8
sports-movie	8
thulani	8
assailant	8
rationale	8
holofcenter	8
'til	8
truffaut	8
sascha	8
resides	8
enabling	8
iv	8
invitingly	8
tough-man	8
exhaustion	8
mean-spiritedness	8
facilitator	8
resoundingly	8
restage	8
petin	8
thirty-five	8
repellantly	8
dotted	8
food-for-thought	8
provocatively	8
flood	8
senseless	8
pulpiness	8
zealously	8
deficit	8
squirt	8
willie	8
insinuating	8
long-lived	8
irreversible	8
irreconcilable	8
macbeth	8
well-detailed	8
inclusiveness	8
ill-starred	8
anarchy	8
gambling	8
assert	8
titillating	8
redux	8
disquiet	8
conan-esque	8
throbbing	8
opting	8
permeate	8
hairpiece	8
d.w.	8
abridged	8
offended	8
virtuosic	8
bloodless	8
surpassed	8
near-disaster	8
three-to-one	8
grizzled	8
rock-n-rolling	8
underrehearsed	8
wishful	8
post-war	8
off-screen	8
street-smart	8
talked	8
expand	8
fingernail	8
reigen	8
whiffle-ball	8
poo-poo	8
rho	8
catastrophe	8
simpering	8
warm-milk	8
not-quite-urban	8
surveyed	8
dominant	8
rekindle	8
piss	8
incurious	8
cashing	8
spotting	8
mitchell	8
soberly	8
raccoon	8
valedictory	8
lin	8
whopping	8
pre-shooting	8
self-amused	8
dizzily	8
outnumber	8
smothered	8
re-fried	8
undertaken	8
renewal	8
viciously	8
creeped	8
claus	8
bogging	8
super-cool	8
pearce	8
capitalism	8
compact	8
relocated	8
slam-bang	8
infuse	8
distressing	8
popped	8
teamwork	8
drawer	8
finch	8
painkiller	8
instinctively	8
putty	8
time-wasting	8
accomodates	8
blake	8
stortelling	8
magnified	8
pathos-filled	8
outrunning	8
justifying	8
well-produced	8
joaquin	8
all-wise-guys-all-the-time	8
beg	8
magnificently	8
snazzy	8
sacre	8
p.c	8
unadulterated	8
juggle	8
still-raw	8
bug	8
reactive	8
thunderous	8
jaundiced	8
seizing	8
imperious	8
canine	8
scorcese	8
portent	8
magi	8
milked	8
behaviour	8
consumerist	8
emailed	8
wincingly	8
tapped	8
trumped-up	8
haranguing	8
pageantry	8
fatherhood	8
spree	8
energized	8
rife	8
warlord	8
eternal	8
semimusical	8
twist-and-turn	8
leniency	8
hard-to-swallow	8
additional	8
figuratively	8
prophetic	8
hr	8
subjective	8
inescapably	8
anthropologically	8
persistent	8
hayseeds-vs	8
tug-of-war	8
veiled	8
carnivore	8
ghandi	8
snared	8
ex-wife	8
bolado	8
quick-buck	8
highfalutin	8
latent	8
dispense	8
assuredly	8
murray	8
nostra	8
differently	8
zero-dimensional	8
half-dimensional	8
period-piece	8
anti-	8
hushed	8
ankle-deep	8
lout	8
invade	8
dwell	8
s1m0ne	8
prankster	8
quench	8
shawn	8
bottom-of-the-bill	8
truth-telling	8
rapture	8
stroll	8
unleashed	8
gangsta	8
over-romanticize	8
bai	8
day-old	8
kindred	8
aftermath	8
arguable	8
vegetable	8
paradigm	8
warmest	8
gulpilil	8
heart-tugging	8
consumer-advice	8
lower-wit	8
pentecostal	8
groggy	8
encumbers	8
toe-to-toe	8
sling	8
stoke	8
deliberateness	8
deutchland	8
logistical	8
dis	8
elect	8
regeneration	8
housekeeping	8
grouchy	8
oh-so-hollywood	8
well-told	8
140	8
poignance	8
close-up	8
bow-wow	8
pillowcase	8
star-studded	8
kimmel	8
truest	8
super-dooper-adorability	8
treacherous	8
auto-critique	8
bagatelle	8
fiji	8
kidlets	8
snoozer	8
unsteady	8
pretty-boy	8
ever-ruminating	8
finishing	8
flim-flam	8
underworld	8
dependable	8
401	8
graveyard	8
disconnected	8
doctor	8
woodland	8
pad	8
dishonorable	8
exhaust	8
exhuming	8
well-shot	8
crock	8
decomposition	8
parapsychological	8
mysticism	8
refers	8
practical	8
giggly	8
einstein	8
amassed	8
purgatory	8
cellophane-pop	8
ember	8
deer	8
grasped	8
opacity	8
agnostic	8
caste	8
represent	8
coolidge	8
slumber	8
infatuation	8
videogame	8
hard-earned	8
sadist	8
diamond	8
petite	8
directress	8
pyschological	8
drinking	8
cowrote	8
clamor	8
harmed	8
kubrick	8
two-wrongs-make-a-right	8
categorize	8
disposition	8
sedentary	8
uncontrolled	8
mistakenly	8
barbarian	8
watstein	8
confirming	8
smoothed	8
girls-behaving-badly	8
reparation	8
fastidiousness	8
lip-synching	8
meltdown	8
insufferably	8
couch	8
168-minute	8
rootlessness	8
unevenly	8
nobility	8
prepackaged	8
wailing	8
notation	8
luke	8
servitude	8
vine	8
ving	8
long-dreaded	8
donati	8
champagne	8
sex-reassignment	8
dipped	8
freshening	8
insouciance	8
metro	8
debases	8
horton	8
assignment	8
dystopian	8
tyco	8
neo-fascism	8
suffocation	8
secularist	8
smallness	8
grandness	8
connecting	8
anatomy	8
800-page	8
sniffle	8
tuba-playing	8
underscoring	8
scene-chewing	8
s.c.	8
straight-up	8
travel-agency	8
set-piece	8
margolo	8
appetizing	8
prevail	8
dull-witted	8
symbiotic	8
entwined	8
jakob	8
electrocute	8
recreation	8
knight	8
the-blanks	8
clive	8
piper	8
nimble	8
resurrect	8
rambo	8
serviceability	8
minefield	8
foursome	8
exhilaration	8
ascension	8
orson	8
thyself	8
re-voiced	8
unhibited	8
blazing	8
displaying	8
hippopotamus	8
rez	8
classism	8
vaporize	8
reinvigorated	8
head-turner	8
sharpens	8
glamorous	8
candy-like	8
epic-horror	8
tide	8
moron	8
goulash	8
transcript	8
hamlet	8
big-hearted	8
demigod	8
defoliation	8
tightening	8
enhanced	8
mate	8
manchild	8
mafia	8
coriat	8
anomaly	8
zealander	8
bulk	8
orthodox	8
spitting	8
retard	8
arising	8
flag-waving	8
conrad	8
1983	8
stunt-hungry	8
tarted	8
pin	8
poke-mania	8
51st	8
mock-tarantino	8
louder	8
dungpile	8
intercut	8
ingenue	8
hippy	8
strangest	8
evanescent	8
shortness	8
settler	8
brandishing	8
preserving	8
infecting	8
suspenser	8
parsing	8
sad-sack	8
lavinia	8
gedeck	8
gloom	8
venality	8
fret	8
lulled	8
communicate	8
mirth	8
wide-awake	8
ricture	8
phantasm	8
dateflick	8
delibrately	8
large-scale	8
show-tunes	8
hoofing	8
multi-million	8
blazingly	8
brain-slappingly	8
fistfight	8
show-don	8
hard-eyed	8
grounding	8
burnt	8
melting	8
philandering	8
mileage	8
exacting	8
cafeteria	8
comparing	8
bedevilling	8
raft	8
viva	8
bargain	8
verging	8
whereas	8
perfected	8
reeked	8
flushed	8
forgoes	8
empathize	8
kibosh	8
stabbing	8
montia	8
banter-filled	8
tormentor	8
buscemi	8
anti-feminist	8
ravaging	8
thandie	8
gryffindor	8
lovable-loser	8
run-of-the-filth	8
expectant	8
intelligible	8
pan-american	8
whiplash	8
splashy	8
profit	8
reductionist	8
stimulation	8
seduces	8
be-all-end-all	8
chuckling	8
thrift-shop	8
well-paced	8
semi-coherent	8
playas	8
nadir	8
seventy-minute	8
winged	8
lighted	8
topnotch	8
video-game-based	8
souvlaki	8
kafkaesque	8
implied	8
andrei	8
lacey	8
granted	8
unplundered	8
all-around	8
outpaces	8
compulsion	8
miscellaneous	8
discussed	8
backwater	8
mucking	8
silver-haired	8
harvest	8
gooeyness	8
farther	8
talk-show	8
bellyaching	8
internalized	8
wild-and-woolly	8
instilling	8
low-cal	8
naptime	8
self-infatuated	8
schtick	8
unapproachable	8
schwartzman	8
compromising	8
floyd	8
adapting	8
matchmaking	8
nonbeliever	8
feminized	8
eludes	8
outraged	8
propensity	8
characterizes	8
side-splittingly	8
romeo	8
well-known	8
resnick	8
prescient	8
boilerplate	8
energizes	8
react	8
72	8
bedevils	8
crime-busting	8
fetishistic	8
miniscule	8
degrading	8
longley	8
duo	8
institutionalized	8
standout	8
earnestly	8
lynch-like	8
peopled	8
akira	8
painless	8
triple-espresso	8
machinery	8
stalk	8
ahem	8
pithy	8
variant	8
bettanymcdowell	8
rothman	8
ayatollah	8
stench	8
swill	8
doe-eyed	8
pigeonhole-resisting	8
unslick	8
libretto	8
strafings	8
woodard	8
shallower	8
nerve-raked	8
white-knuckled	8
dunst	8
demonstrated	8
hotter-two-years-ago	8
doodle	8
hypothesis	8
underwood	8
bottle	8
bottomless	8
inexperience	8
neo-augustinian	8
wrist	8
crawling	8
dialed-up	8
actorish	8
versace	8
nurturing	8
flee	8
brazil-like	8
cornpone	8
repairing	8
tacked	8
same-old	8
inter-family	8
amorality	8
indignant	8
sitcomishly	8
affectingly	8
father-and-son	8
15th	8
fastball	8
surfer-girl	8
signify	8
clarke-williams	8
underutilized	8
slave	8
l.a	8
sparking	8
quick-cuts	8
ripper	8
devaluation	8
silliest	8
weighted	8
resists	8
teaming	8
cirulnick	8
highlighted	8
oscar-caliber	8
72-minute	8
geeked	7
annie	7
less-is-more	7
270	7
eurotrash	7
avert	7
transfixes	7
unwillingness	7
unanswered	7
stern	7
impartiality	7
snazzy-looking	7
relay	7
pursue	7
self-styled	7
irritates	7
worldview	7
wonder-what	7
accentuating	7
fil	7
sinuously	7
zoning	7
beaut	7
art-conscious	7
28k	7
eye-opener	7
urbane	7
misperception	7
fugitive	7
playfully	7
spinotti	7
schlock-filled	7
morphed	7
goya	7
vexing	7
gauge	7
sniping	7
contributes	7
on-board	7
markedly	7
preserve	7
dave	7
writer-producer-director	7
boiled	7
near-impossible	7
unblinkingly	7
awhile	7
uncouth	7
cheesiness	7
augmented	7
becalmed	7
cat-and-cat	7
woodman	7
obsessively	7
suspending	7
slummy	7
self-expression	7
no-bull	7
documentary-like	7
ineffective	7
silly-looking	7
sisterly	7
cranked	7
sitcom-cute	7
sanctified	7
page-turning	7
yahoo-ing	7
sappiness	7
immune	7
masterly	7
indulgently	7
hog	7
tchaikovsky	7
haute	7
thump	7
investigation	7
liberally	7
22	7
stiletto-stomps	7
juiceless	7
disquietingly	7
zoe	7
roadside	7
psychiatrist	7
outlet	7
mosaic	7
rekindles	7
fleder	7
underestimate	7
edged	7
boosted	7
barber	7
advertisement	7
be-bop	7
caption	7
quixotic	7
pressure-cooker	7
composing	7
sleaziness	7
sportsmanship	7
unedited	7
sorcerer	7
authenticate	7
interfaith	7
razzie	7
taught	7
glinting	7
infirmity	7
snagged	7
overeager	7
fetishized	7
beware	7
acknowledging	7
techno-horror	7
midwest	7
72-year-old	7
rosily	7
interpreting	7
staleness	7
sank	7
customarily	7
gregory	7
fiorentino	7
japanimator	7
vim	7
conspiratorial	7
schoolgirl	7
dognini	7
jiang	7
folktale	7
comedy-deficient	7
tolstoy	7
laced	7
fatalism	7
reassures	7
measurement	7
looseness	7
trekkie	7
asbury	7
shambling	7
fuzziness	7
stickiness	7
graffiti	7
tierney	7
enthrall	7
semi-throwback	7
dicaprio	7
heart-stopping	7
cuba	7
ambling	7
byron	7
buzz-obsessed	7
repression	7
drung	7
preamble	7
verse	7
gellar	7
way-cool	7
smack-dab	7
acquires	7
soaked	7
ole	7
community-therapy	7
sampi	7
edge-of-your-seat	7
mystique	7
jovovich	7
middle-brow	7
tornatore	7
spat	7
manipulate	7
goosebump	7
redeemed	7
ut	7
formalism	7
conjure	7
the-loose	7
copyof	7
misty-eyed	7
pledge	7
slow-paced	7
send-up	7
merchandised-to-the-max	7
acrid	7
cheered	7
recalling	7
levant	7
dalrymple	7
prescribed	7
marrow	7
sendak	7
savoca	7
hobby	7
true-crime	7
65-minute	7
uncoordinated	7
receding	7
kendall	7
trifling	7
rockwell	7
condone	7
boorish	7
linda	7
calculus	7
brazil	7
re-working	7
jacqueline	7
juxtapose	7
clan	7
distressingly	7
borscht	7
rocawear	7
lasker	7
amuse-bouche	7
reminiscence	7
pyro-correctly	7
juan	7
outgag	7
balk	7
trudge	7
splatter	7
rubin	7
surest	7
distracts	7
oatmeal	7
selecting	7
imaginary	7
disease-of-the-week	7
merited	7
disgracefully	7
activate	7
csokas	7
muck	7
sanded	7
clinically	7
happiest	7
matt	7
oh-so-important	7
rusted-out	7
fantastically	7
pta	7
compassionately	7
sorriest	7
bleep	7
festive	7
50-million	7
10-course	7
kid-pleasing	7
franz	7
1930s	7
antagonism	7
pathologically	7
bio-drama	7
somnolent	7
egyptian	7
pro-serbian	7
mummified	7
cooly	7
natter	7
whoop	7
obviation	7
monitor	7
26-year-old	7
bang-the-drum	7
organize	7
better-focused	7
dimwitted	7
tackled	7
rewrite	7
nanette	7
vastness	7
enchanted	7
star-power	7
dj	7
life-embracing	7
steak	7
leavitt	7
mitch	7
amusingly	7
resentful	7
coo	7
trickery	7
perfervid	7
personable	7
oes	7
carlito	7
characterizing	7
cone	7
hell-jaunt	7
grapple	7
wispy	7
posey	7
1972	7
taxing	7
blobby	7
hooey	7
couture	7
peel	7
none-too-original	7
undiscovered	7
bullseye	7
faking	7
fulfills	7
hotter	7
prayer	7
cliffhanger	7
message-movie	7
animaton	7
squirm-inducing	7
extols	7
derisive	7
aesop	7
craving	7
chicago-based	7
unwavering	7
mpaa	7
100-year	7
croze	7
whoopee-cushion	7
ordinance	7
accelerated	7
intrigued	7
temperamental	7
yeah	7
odoriferous	7
libidinous	7
corniness	7
carousel	7
gobble	7
appraisal	7
roster	7
ravaged	7
interacting	7
duel	7
justifies	7
gay-niche	7
flimsier	7
clutchy	7
tufano	7
slash-dash	7
scum	7
post-breakup	7
marshaled	7
fatalist	7
lite	7
bigoted	7
breeze	7
inflammatory	7
imparting	7
lightens	7
daydreaming	7
republic	7
ream	7
snail-like	7
clambake	7
waradventure	7
suburbia	7
mouthpiece	7
hunky	7
liana	7
collage-form	7
scatological	7
a.c.	7
back-story	7
scary-funny	7
drippiness	7
smarty-pants	7
afflicting	7
houseboat	7
killer-thrillers	7
nuttgens	7
maladjusted	7
vivacious	7
attributable	7
investing	7
inconsequentiality	7
ennui-hobbled	7
detractor	7
i.e	7
crooning	7
fourth-rate	7
unpleasantness	7
answered	7
savored	7
l'avventura	7
well-behaved	7
environmentalism	7
seesawed	7
fruitful	7
odd-couple	7
restless	7
co-writers	7
1873	7
interwoven	7
eroticized	7
inventing	7
mason-dixon	7
andersson	7
hagiographic	7
comedically	7
stop-and-start	7
re-invents	7
filmic	7
fixated	7
feel-bad	7
maggot	7
capsule	7
docile	7
chimney	7
koyaanisqatsi	7
insulted	7
propulsive	7
77-minute	7
prepubescent	7
battery	7
gestalt	7
sermonizing	7
fluctuating	7
teen-pop	7
uproariously	7
pryce	7
praying	7
arthritic	7
march	7
freshened	7
18th-century	7
by-the-books	7
ephemeral	7
distancing	7
prosthetic	7
pussy-ass	7
duly	7
testify	7
movie-movie	7
acidity	7
reportedly	7
pretended	7
amateurishness	7
humiliated	7
katz	7
stave	7
flinging	7
kirsten	7
nausea	7
inspection	7
s.c	7
ze	7
sausage	7
pancake	7
fandango	7
gene	7
commendable	7
space-based	7
heart-affecting	7
amped-up	7
scoob	7
unbreakable	7
greasiest	7
banquet	7
let-down	7
hitler-study	7
encountered	7
hedonist	7
twenty-first	7
fathom	7
writer-actor	7
aranda	7
wading	7
mein	7
beseechingly	7
overcoming-obstacles	7
wazoo	7
mobius	7
tuna	7
desplat	7
cyber-horror	7
gratify	7
cimarron	7
120	7
official	7
hardwood	7
merges	7
laddish	7
late-twenty-somethings	7
179-minute	7
rightly	7
cringe-inducing	7
vertiginous	7
forge	7
ill-informed	7
handiwork	7
indignation	7
remade	7
ponytail	7
adversity	7
puzzlement	7
percolate	7
dictator-madman	7
hijack	7
reilly	7
wedgie	7
fresh-squeezed	7
marketplace	7
sydow	7
hivaids	7
college-friends	7
howie	7
arkansas	7
schmuck	7
based-on-truth	7
flatbush	7
misunderstanding	7
hit-hungry	7
convenience	7
vector	7
tenuous	7
anthropology	7
thousand-times	7
prattle	7
latifah	7
slam-dunk	7
undergoing	7
reconciled	7
belong	7
slather	7
esteemed	7
cinema-and-self	7
extensively	7
37-minute	7
grittiest	7
coltish	7
mind-numbing	7
romance-novel	7
doa	7
irrevocably	7
everlyn	7
actioneffects	7
testing	7
neeson	7
half-wit	7
scrap	7
medium-grade	7
ethnography	7
cousin	7
girl-woman	7
valedictorian	7
futility	7
colosseum	7
dismissive	7
utilizing	7
jaglomized	7
smoker	7
pandora	7
perceptiveness	7
catalytic	7
dreamy	7
plaintiveness	7
outselling	7
fingering	7
squalor	7
knowingly	7
fulford-wierzbicki	7
post-camp	7
apology	7
microcosm	7
overdue	7
fancied	7
cardellini	7
excellence	7
heaviest	7
technology-of-the-moment	7
revisionism	7
tangent	7
frosting	7
margot	7
careworn	7
plumb	7
breeziness	7
incarnated	7
schticky	7
gollum	7
exterminator	7
schwentke	7
spinoff	7
texan	7
sooner	7
rollerblade	7
mismatched	7
seacoast	7
mass-market	7
weakened	7
spied	7
twinkie	7
suffices	7
foundering	7
oversimplification	7
frat-boy	7
swallowing	7
character-who-shall	7
skinner	7
harlem	7
fillm	7
watered-down	7
stormy	7
hyper-realistic	7
hailed	7
community-college	7
hyphenate	7
indian-american	7
icily	7
tuning	7
wobbly	7
capably	7
marisa	7
rivaling	7
substantive	7
bowser	7
consistency	7
wham-bam	7
degenerating	7
hollywood-itis	7
mapquest	7
venerable	7
booming	7
capricious	7
spreading	7
potemkin	7
i-heard-a-joke	7
hound	7
tomei	7
springsteen	7
rekindled	7
syncopated	7
kappa	7
benevolent	7
ribbon	7
affectionately	7
slowed	7
unindicted	7
crapulence	7
researcher	7
repeating	7
oil	7
simplify	7
romantic-comedy	7
bombshell	7
single-mindedness	7
devilishly	7
again-courage	7
bohemian	7
affluence	7
ambitiously	7
fading	7
often-mined	7
pondering	7
daphne	7
noblest	7
self-exploitation	7
rover	7
obliviousness	7
annual	7
huggy	7
third-person	7
confining	7
monstrously	7
knitting	7
salvation	7
surehanded	7
flux	7
chanting	7
engorged	7
infantilized	7
imprisonment	7
skittish	7
sociopathy	7
plugged	7
cafe	7
wildcard	7
flog	7
salvaged	7
claustrophobia	7
populist	7
villians	7
too-extreme-for-tv	7
contradicts	7
hashiguchi	7
numbness	7
dissolve	7
crystallize	7
patronising	7
ashamed	7
archetypal	7
rigidly	7
imminently	7
moral-condundrum	7
sandwiched	7
gratifying	7
addiction	7
arcanum	7
reiterates	7
revived	7
boy-meets-girl	7
stiff-upper-lip	7
squabbling	7
skate	7
exemplify	7
burdened	7
mortal	7
adrenalized	7
zig	7
rediscovers	7
embody	7
baird	7
re-imagining	7
inexorable	7
stranded	7
contemptuous	7
elie	7
tainted	7
ponderously	7
quasi-original	7
movie-specific	7
majorly	7
o2-tank	7
badly-rendered	7
pandered	7
romero	7
widescreen	7
entrepreneurial	7
humping	7
slickly	7
solipsistic	7
sunburn	7
queasy-stomached	7
super-serious	7
unparalleled	7
gut-buster	7
dawdles	7
tweak	7
awash	7
obsessed	7
screwed	7
retribution	7
tome	7
1986	7
badder	7
soaringly	7
flexible	7
thorn	7
domino	7
arwen	7
unstinting	7
venue	7
tie-in	7
wordplay	7
recessive	7
warp	7
peekaboo	7
jazz-playing	7
estate	7
singercomposer	7
gate	7
delicacy	7
gluing	7
elliptical	7
400	7
springing	7
beat-charged	7
alarmingly	7
pseudo-rock-video	7
screwy	7
delirious	7
magnificence	7
gravitas	7
rancid	7
curio	7
marveled	7
morlocks	7
criticizes	7
erupt	7
34th	7
quintessential	7
highlander	7
shapelessly	7
melodramatics	7
underdramatized	7
comical	7
fangoria	7
olympia	7
blue-chip	7
nowheresville	7
cliche-bound	7
wounding	7
thriller-noir	7
quicksand	7
open-endedness	7
fantasti	7
convict	7
non-techies	7
loosens	7
natural-seeming	7
trounce	7
dreyfus	7
patchouli	7
only-in	7
porky	7
adore	7
highly-praised	7
willingly	7
vanished	7
zombie-land	7
deblois	7
well-conceived	7
gifting	7
cloudy	7
invader	7
memory-as-identity	7
gut-clutching	7
dismal	7
serendipity	7
kumble	7
eighty	7
tipped	7
eighth	7
coordinated	7
underpinnings	7
categorization	7
grittily	7
media-constructed	7
earthy	7
oafish	7
unsatisfactorily	7
gutterball	7
grand-scale	7
freshman	7
circularity	7
socio-histo-political	7
mythologizing	7
subscriber	7
balzac	7
siberian	7
imponderably	7
lamentation	7
relied	7
engulfed	7
evasive	7
razor-sided	7
1988	7
cleanflicks	7
romoli	7
whence	7
subdues	7
fisk	7
vicente	7
rouse	7
show-off	7
navel	7
idiom	7
all-stars	7
quizzical	7
royally	7
luvvies	7
charly	7
cadaver	7
bone-dry	7
becker	7
collegiate	7
villainess	7
translating	7
burkinabe	7
so-bad-they	7
pentacostal	7
untold	7
journalistically	7
half-lit	7
garnish	7
over-dramatic	7
kickass	7
pro-serb	7
hourlong	7
weimar	7
conducted	7
anti-adult	7
college-spawned	7
restore	7
susceptible	7
hobnail	7
enthuse	7
wager	7
film-culture	7
danilo	7
alzheimer	7
down-home	7
trend	7
pitted	7
truth-in-advertising	7
crash-and-bash	7
instigator	7
wolfe	7
creepy-crawly	7
inflection	7
abiding	7
betray	7
made-for-home-video	7
decrying	7
adorned	7
giles	7
arbitrarily	7
sourness	7
well-trod	7
non-exploitive	7
distinguishable	7
dismember	7
toe-tapping	7
kahlories	7
depersonalization	7
inactive	7
murder-suicide	7
lending	7
tear-drenched	7
tv-to-movie	7
soppy	7
'53	7
verete	7
frightful	7
quashed	7
laboriousness	7
depression-era	7
undoing	7
large-format	7
curtsy	7
astounds	7
sturges	7
dispel	7
referencing	7
breach	7
meat-and-potatoes	7
slickest	7
non-reactionary	7
theocracy	7
fold	7
manipulating	7
higuchinsky	7
syndrome	7
docu-drama	7
tact	7
unforgivably	7
hose	7
eisenberg	7
meager	7
playstation	7
go-for-broke	7
unforgiven	7
spookily	7
doshas	7
intuitively	7
end-of-year	7
inmate	7
congenital	7
minister	7
glancing	7
hi	7
who-wrote-shakespeare	7
handgun	7
drawling	7
scathingly	7
intimidated	7
